2025-10-10 08:23:05.070 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:23:05.089 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 18ms
2025-10-10 08:23:05.090 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:23:05.090 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:23:05.098 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 7ms
2025-10-10 08:23:15.090 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:23:15.091 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:23:15.111 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 20ms
2025-10-10 08:23:15.112 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:23:15.112 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:23:15.119 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 7ms
2025-10-10 08:23:25.129 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:23:25.130 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:23:25.150 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 18ms
2025-10-10 08:23:25.152 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:23:25.153 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:23:25.162 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 9ms
2025-10-10 08:23:35.161 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
